Ref	Priority	Severity
99786	Medium	L2
99787	Low	L1
99788	Low	L1
99789	Low	L2
99790	Low	L1
99791	Low	L5
99792	Medium	L2
99793	Low	L2
99794	Medium	L2
99795	Low	L1
99796	High	L2
99797	Medium	L5
99798	Low	L1
99799	Low	L1
99800	Medium	L5
99801	Low	L2
99802	Medium	L1
99803	High	L2
99804	Low	L2
99805	Low	L2
99806	Medium	L2
99807	Medium	L1
99808	Medium	L1
99811	Medium	L5
99812	Low	L5
99813	Medium	L3
99814	High	L2
99815	Low	L1
99816	Low	L2
99817	Low	L1
99818	Low	L5
99819	Medium	L5
99820	Low	L1
99821	High	L1
99822	Medium	L2
99823	Low	L1
99824	Low	L1
99825	Low	L5
99826	Medium	L2
99827	Low	L2
99828	Low	L3
99829	Medium	L1
99830	Low	L1
99831	Low	L1
99832	Medium	L5
99833	Low	L1
99834	Low	L1
99835	Medium	L1
99836	Low	L1
99837	Medium	L1
99838	Low	L1
99839	High	L1
99840	High	L1
99841	High	L2
99842	Low	L1
99843	Low	L3
99844	Medium	L1
99845	Medium	L1
99846	Low	L1
99847	High	L1
99848	High	L1
99849	Medium	L1
99850	High	L1
99851	Low	L1
99852	Medium	L1
99853	Medium	L1
99854	Medium	L1
99855	Low	L2
99856	Medium	L1
99857	Low	L2
99858	Low	L5
99859	High	L1
99860	Low	L1
99861	Low	L1
99862	Low	L2
99863	Low	L2
99864	Medium	L1
99865	Low	L2
99866	Medium	L2
99867	Medium	L2
99868	Low	L5
99869	Low	L1
99870	Low	L1
99871	Low	L5
99872	Medium	L1
99873	Medium	L1
99874	Low	L2
99875	Low	L1
99876	Low	L1
99877	Low	L2
99878	High	L5
99879	Medium	L2
99880	Medium	L2
99881	Low	L2
99882	Low	L1
99883	Medium	L1
99884	High	L2
99885	Low	L2
99886	Medium	L1
99887	High	L2
99888	High	L5
99889	Low	L1
99890	Low	L1
99891	Medium	L3
99892	Medium	L2
99893	High	L1
99894	High	L1
99895	Medium	L1
99896	High	L2
99897	High	L2
99898	Low	L3
99899	Medium	L1
99900	High	L2
99901	Low	L2
99902	Medium	L1
99903	Low	L5
99904	Low	L1
99905	Medium	L2
99906	Medium	L5
99907	Low	L2
99908	Medium	L5
99909	Low	L1
99910	Low	L1
99911	Low	L2
99912	Medium	L1
99913	High	L2
99914	Medium	L1
99915	Low	L2
99916	High	L1
99917	Medium	L2
99918	Low	L2
99919	Low	L2
99920	Low	L2
99921	Medium	L2
99922	High	L5
99923	Low	L1
99924	Low	L1
99925	Low	L2
99926	High	L1
99927	High	L2
99928	High	L1
99929	Low	L5
99930	Low	L1
99931	Medium	L1
99932	Low	L1
99933	Low	L1
99934	High	L1
99935	Low	L1
99936	Medium	L5
99937	Low	L1
99938	High	L3
99939	Medium	L5
99940	High	L2
99941	Medium	L2
99942	Low	L1
99943	Medium	L5
99944	Low	L1
99945	Low	L5
99946	Medium	L5
99947	Low	L5
99948	Low	L1
99949	Low	L1
99950	High	L1
99951	Low	L2
99952	High	L2
99953	Low	L2
99954	Low	L1
99955	Low	L2
99956	Medium	L1
99957	Medium	L1
99958	High	L1
99959	Low	L1
99960	High	L1
99961	Medium	L1
99962	Medium	L3
99963	High	L5
99964	Low	L2
99965	Low	L2
99966	High	L2
99967	Medium	L5
99968	Low	L1
99969	High	L2
99970	Low	L1
99971	Low	L5
99972	Medium	L3
99973	Low	L5
99974	Low	L5
99975	Low	L2
99976	Medium	L5
99977	Low	L3
99978	Medium	L1
99979	Low	L2
99980	High	L2
99981	Low	L5
99982	High	L5
99983	High	L5
99984	Low	L1
99985	High	L1
99986	Medium	L1
99987	Low	L3
99988	High	L1
99989	Medium	L5
99990	Medium	L2
99991	Medium	L1
99992	Low	L2
99993	Medium	L2
99994	Low	L2
99995	Medium	L1
99996	Low	L1
99997	Low	L1
99998	Low	L2
99999	Low	L1
100000	High	L3
100001	High	L2
100002	High	L2
100003	Medium	L1
100004	Low	L3
100005	Low	L2
100006	Medium	L2
100007	Low	L1
100008	Low	L3
100009	Low	L2
100010	Medium	L2
100013	Medium	L3
100014	Medium	L2
100015	Low	L2
100016	Low	L3
100017	Low	L1
100018	Medium	L2
100019	High	L1
100020	Low	L1
100021	High	L2
100022	Medium	L5
100023	Low	L1
100024	High	L2
100025	Low	L1
100026	Low	L2
100027	Medium	L5
100028	Medium	L2
100029	Low	L1
100030	Medium	L1
100031	Medium	L1
100034	Low	L2
100035	Low	L3
100036	Medium	L1
100037	Low	L5
100038	High	L1
100039	Low	L1
100040	Low	L1
100041	Low	L1
100042	Medium	L5
100043	Medium	L2
100044	Low	L1
100045	Low	L2
100046	High	L5
100047	Low	L1
100048	High	L1
100049	Low	L1
100050	High	L2
100051	High	L1
100052	High	L1
100053	Low	L5
100054	Medium	L5
100055	Low	L2
100056	Low	L1
100057	Low	L2
100058	Medium	L1
100059	Low	L2
100060	Low	L2
100061	Low	L2
100062	High	L1
100063	Medium	L5
100064	Medium	L3
100067	Low	L2
100068	Low	L1
100069	Low	L1
100070	High	L1
100071	Medium	L1
100072	Low	L1
100073	High	L1
100074	Medium	L1
100075	Medium	L1
100076	Medium	L5
100077	Medium	L1
100078	Low	L1
100079	Low	L5
100080	High	L1
100081	Low	L2
100082	High	L1
100083	Low	L2
100084	Low	L1
100085	Low	L1
100086	Low	L1
100087	Low	L1
100088	Medium	L2
100089	Medium	L1
100090	Low	L1
100091	Medium	L1
100092	High	L1
100093	Low	L5
100094	High	L1
100095	High	L1
100096	Low	L1
100097	Medium	L1
100100	Medium	L2
100101	Low	L2
100102	Low	L2
100103	Medium	L2
100104	High	L1
100105	Low	L2
100106	Low	L2
100107	Low	L3
100108	Medium	L2
100109	Low	L1
100110	Low	L2
100111	Medium	L2
100112	Low	L1
100113	Medium	L1
100114	Low	L1
100115	Low	L2
100116	High	L1
100117	Low	L5
100118	Low	L1
100119	Low	L1
100120	Medium	L1
100121	High	L1
100122	Low	L1
100123	Low	L1
100124	Low	L1
100125	Medium	L1
100126	High	L1
100127	Medium	L2
100128	High	L1
100129	Medium	L5
100130	Low	L2
100131	Low	L2
100132	High	L1
100133	High	L1
100134	Low	L2
100135	Low	L2
100136	Low	L2
100137	Medium	L1
100138	Medium	L1
100139	High	L2
100140	Medium	L2
100141	Low	L3
100142	Medium	L1
100145	Low	L2
100146	Medium	L2
100147	High	L1
100148	Low	L5
100149	Low	L1
100150	High	L1
100151	High	L2
100152	Low	L2
100153	High	L2
100154	Low	L2
100155	Medium	L1
100156	Low	L1
100157	Medium	L1
100158	Low	L2
100159	Low	L2
100160	Medium	L1
100161	Low	L1
100162	Low	L2
100163	Low	L1
100164	High	L2
100165	Low	L1
100166	Low	L1
100167	Low	L2
100168	Low	L2
100169	Low	L2
100170	Medium	L5
100171	Low	L1
100172	Low	L2
100173	Medium	L1
100174	Medium	L2
100175	Low	L1
100176	Low	L5
100177	Medium	L1
100178	Medium	L2
100179	Low	L5
100180	Low	L1
100181	High	L1
100182	Medium	L2
100183	Medium	L2
100186	Low	L2
100187	Low	L1
100188	Medium	L1
100189	Low	L2
100190	Medium	L1
100191	Low	L5
100192	Low	L1
100195	Low	L2
100198	Medium	L3
100199	Medium	L5
100200	Medium	L1
100201	Medium	L5
100202	Low	L2
100203	Low	L2
100204	Low	L1
100205	Low	L1
100206	High	L5
100207	Low	L5
100208	Low	L2
100209	Medium	L2
100210	High	L1
100211	Low	L1
100212	Medium	L5
100213	High	L5
100217	Medium	L5
100218	Low	L1
100219	Medium	L5
100220	Medium	L2
100221	Low	L1
100222	Low	L5
100223	Low	L5
100224	High	L1
100225	Low	L1
100226	High	L1
100227	Medium	L1
100228	High	L1
100229	Medium	L1
100230	High	L5
100231	Medium	L1
100232	Low	L2
100233	Medium	L1
100234	Low	L1
100235	Medium	L1
100236	Low	L2
100237	High	L1
100238	Medium	L1
100239	High	L1
100240	Low	L1
100241	Low	L1
100242	Low	L2
100243	Medium	L5
100244	Medium	L2
100245	Low	L1
100246	Low	L5
100247	Low	L5
100248	Low	L1
100249	Low	L3
100250	Low	L2
100251	Low	L2
100252	Medium	L2
100253	Low	L5
100254	Medium	L1
100255	High	L1
100256	Medium	L1
100257	Low	L1
100258	Medium	L5
100259	High	L1
100260	Low	L1
100261	Low	L1
100262	High	L1
100263	Low	L1
100264	Low	L1
100265	Medium	L1
100266	Medium	L1
100267	Low	L5
100268	Low	L2
100269	Medium	L2
100270	Low	L2
100271	Low	L5
100272	High	L2
100273	Medium	L2
100274	Medium	L1
100275	Low	L1
100276	Low	L1
100277	Medium	L1
100278	Low	L1
100279	Medium	L1
100280	Low	L1
100281	Low	L1
100282	Low	L1
100283	Medium	L1
100284	Medium	L1
100285	Low	L1
100286	Low	L3
100287	Low	L5
100288	Low	L1
100289	Medium	L2
100290	Medium	L1
100291	Medium	L1
100292	Medium	L2
100293	Low	L5
100294	Medium	L1
100295	High	L1
100296	Medium	L2
100297	Medium	L2
100298	Low	L2
100299	High	L5
100300	Low	L5
100301	High	L1
100302	High	L2
100303	Medium	L1
100304	Low	L3
100305	Low	L1
100306	Medium	L1
100307	Medium	L1
100308	Medium	L1
100309	Medium	L1
100310	High	L1
100311	High	L1
100312	Low	L1
100313	Low	L1
100314	Low	L2
100315	Medium	L2
100316	Low	L5
100317	High	L2
100318	Low	L1
100319	Medium	L1
100320	Low	L1
100321	Low	L1
100322	High	L2
100323	High	L2
100324	High	L1
100325	High	L1
100326	Low	L1
100327	Medium	L2
100328	Medium	L2
100329	Low	L2
100330	Medium	L1
100331	High	L2
100332	High	L1
100333	Low	L2
100334	High	L2
100335	Low	L2
100336	High	L2
100337	Medium	L1
100338	Low	L1
100339	High	L1
100340	Medium	L1
100341	Low	L2
100342	Low	L1
100343	Low	L2
100344	High	L1
100345	Low	L1
100346	Low	L1
100347	Low	L1
100348	Medium	L2
100349	Medium	L5
100350	Low	L5
100351	Low	L5
100352	Low	L1
100353	Medium	L5
100354	Low	L5
100355	Low	L5
100356	Low	L1
100357	Medium	L2
100358	Medium	L1
100359	Low	L1
100360	High	L2
100361	Low	L2
100362	Low	L2
100363	Low	L1
100364	Medium	L2
100365	Medium	L5
100366	Low	L1
100367	Medium	L1
100368	Low	L1
100369	High	L2
100370	High	L2
100371	Low	L2
100372	Low	L5
100373	High	L1
100374	Low	L5
100375	Low	L5
100376	Low	L5
100377	High	L2
100378	Low	L1
100379	High	L1
100380	Low	L1
100381	Medium	L2
100382	Low	L5
100383	Low	L1
100384	Low	L5
100385	High	L2
100386	Low	L2
100387	Medium	L2
100388	Medium	L1
100389	High	L1
100398	Medium	L5
100399	Low	L1
100400	Low	L2
100401	Low	L2
100402	Low	L2
100403	Low	L5
100404	Low	L1
100405	Low	L2
100406	Low	L2
100407	Medium	L1
100408	High	L1
100409	Low	L1
100410	Low	L2
100411	Low	L1
100412	Low	L2
100413	Low	L1
100414	Medium	L5
100415	High	L1
100416	Low	L5
100417	Low	L1
100418	Low	L5
100419	High	L1
100420	High	L1
100421	High	L3
100422	High	L5
100423	High	L1
100424	Low	L1
100425	Medium	L2
100426	Medium	L1
100427	Low	L2
100428	Low	L3
100429	Low	L2
100430	Low	L2
100431	Low	L5
100432	Medium	L1
100433	Low	L2
100434	Low	L3
100435	Medium	L2
100436	High	L3
100437	Low	L1
100438	Low	L1
100439	Medium	L2
100440	Low	L2
100441	Medium	L2
100442	Medium	L2
100443	High	L1
100444	High	L1
100445	High	L3
100446	Medium	L3
100449	Low	L2
100450	Low	L1
100451	Medium	L2
100452	Low	L2
100453	Medium	L3
100454	Low	L5
100455	Low	L1
100456	Low	L1
100457	Low	L1
100458	Low	L1
100459	Medium	L1
100460	Medium	L1
100461	Medium	L1
100462	Medium	L1
100463	Low	L1
100464	Medium	L1
100465	Low	L1
100466	Medium	L1
100467	Low	L1
100468	Medium	L1
100469	High	L1
100470	Low	L1
100471	Low	L1
100472	Low	L1
100473	Medium	L1
100474	Low	L2
100475	High	L1
100476	Medium	L1
100477	Medium	L1
100478	Low	L1
100479	Medium	L2
100480	High	L1
100481	High	L1
100482	Low	L1
100483	Low	L1
100484	Medium	L5
100485	Low	L3
100486	Medium	L5
100487	High	L3
100488	Low	L2
100489	Medium	L1
100490	High	L1
100491	Medium	L1
100492	Low	L1
100493	Low	L1
100494	High	L1
100495	High	L1
100496	Low	L1
100497	Medium	L1
100498	High	L1
100499	Low	L5
100500	Medium	L1
100501	High	L1
100502	High	L1
100503	Low	L1
100504	Low	L1
100505	Low	L1
100506	Low	L5
100507	Low	L2
100508	High	L1
100509	Low	L1
100510	Low	L5
100511	Medium	L1
100512	Low	L1
100513	Medium	L5
100514	Medium	L2
100515	Medium	L5
100516	High	L2
100517	Low	L1
100518	Medium	L1
100519	Low	L1
100520	Medium	L1
100521	Medium	L1
100522	Medium	L1
100523	Low	L5
100524	Low	L1
100525	High	L1
100526	Medium	L1
100527	Medium	L2
100528	Medium	L5
100529	Low	L1
100530	Low	L1
100531	High	L1
100532	Low	L2
100533	Low	L1
100534	High	L2
100535	Low	L1
100536	High	L2
100537	Low	L1
100538	High	L3
100539	High	L1
100540	Low	L1
100541	Low	L1
100542	Medium	L1
100543	Low	L1
100544	Low	L1
100545	High	L1
100546	Low	L2
100547	Low	L5
100548	Low	L1
100549	Medium	L5
100550	High	L1
100551	Medium	L1
100552	Low	L1
100557	Low	L2
100558	Medium	L2
100559	Medium	L2
100560	Low	L2
100561	High	L1
100562	Low	L3
100563	High	L2
100564	Medium	L2
100565	Low	L1
100566	Low	L2
100567	Medium	L3
100568	Medium	L1
100569	Low	L1
100570	High	L2
100571	High	L3
100572	Medium	L2
100573	High	L1
100574	High	L2
100575	Low	L2
100576	Low	L2
100579	Low	L2
100580	High	L1
100581	High	L1
100582	Low	L2
100583	Low	L5
100584	High	L1
100587	Medium	L5
100588	Low	L3
100589	High	L3
100590	Low	L1
100591	High	L2
100592	Medium	L2
100593	Medium	L1
100594	Low	L2
100595	High	L5
100596	Medium	L1
100597	High	L1
100598	Low	L5
100599	Low	L1
100600	Medium	L1
100601	Medium	L1
100602	Medium	L1
100603	Low	L2
100604	Low	L2
100605	Medium	L2
100606	Low	L2
100607	Low	L2
100608	Low	L2
100609	High	L2
100610	High	L1
100611	Low	L1
100612	Low	L2
100613	Medium	L1
100614	Medium	L2
100615	High	L1
100616	Medium	L1
100617	Low	L5
100618	Low	L1
100619	Low	L3
100620	Low	L1
100621	Low	L1
100622	Low	L5
100623	Low	L2
100624	Low	L3
100625	High	L2
100626	Low	L1
100629	High	L2
100630	High	L5
100631	High	L1
100632	Medium	L3
100633	Low	L1
100634	Medium	L1
100635	Medium	L2
100636	Low	L1
100637	Low	L2
100638	Medium	L1
100639	Medium	L1
100640	Low	L1
100641	Low	L1
100642	Low	L1
100643	Medium	L1
100644	Low	L1
100645	Medium	L2
100646	Low	L1
100647	Medium	L1
100648	Medium	L1
100649	Medium	L1
100650	Medium	L1
100651	Medium	L3
100652	Low	L1
100653	High	L1
100654	Low	L1
100655	High	L1
100656	High	L1
100657	Low	L1
100658	Low	L1
100659	Low	L1
100660	Low	L2
100661	High	L1
100662	Low	L1
100663	Low	L1
100664	Low	L2
100665	Low	L5
100668	Low	L1
100669	Low	L5
100670	Low	L1
100671	High	L1
100672	High	L1
100673	Low	L1
100674	High	L1
100675	High	L1
100676	Low	L5
100677	Medium	L1
100678	High	L1
100679	Medium	L1
100680	Low	L1
100681	Medium	L1
100682	High	L1
100683	Low	L1
100684	High	L2
100685	Medium	L5
100686	Low	L2
100687	Medium	L2
100688	High	L5
100689	Low	L1
100690	High	L1
100691	Medium	L1
100692	Medium	L1
100693	Medium	L1
100694	Low	L1
100695	Low	L1
100696	Medium	L1
100697	Low	L2
100698	Medium	L5
100699	Low	L2
100700	Medium	L3
100701	Medium	L1
100702	Low	L1
100703	Low	L1
100704	High	L1
100705	Medium	L1
100706	High	L1
100707	Low	L1
100708	Low	L1
100709	Low	L1
100710	Low	L1
100711	Medium	L1
100712	Low	L1
100713	High	L5
100714	Low	L2
100715	Low	L1
100716	Medium	L3
100717	High	L1
100718	High	L1
100719	Medium	L2
100720	Medium	L1
100721	High	L1
100722	Low	L5
100723	High	L5
100724	Medium	L2
100725	High	L3
100726	High	L1
100727	Low	L1
100728	Medium	L1
100729	Medium	L1
100730	Low	L2
100731	High	L1
100732	Medium	L2
100733	Low	L2
100734	High	L2
100735	Low	L5
100736	Low	L3
100737	Low	L1
100738	High	L2
100739	Low	L5
100740	Low	L1
100741	Low	L3
100742	Low	L2
100743	Low	L2
100744	Low	L4
100745	Low	L1
100746	High	L1
100747	Low	L1
100748	High	L1
100749	High	L1
100750	High	L1
100751	High	L1
100752	Medium	L1
100753	Low	L3
100754	Low	L5
100755	Medium	L1
100756	Low	L1
100757	Medium	L1
100758	Low	L2
100759	Medium	L1
100764	Low	L1
100765	Low	L5
100766	Low	L1
100767	Medium	L1
100768	Low	L1
100769	Medium	L1
100770	High	L1
100771	Low	L2
100772	Medium	L1
100773	Low	L1
100774	High	L1
100775	Low	L1
100776	Low	L1
100777	Medium	L1
100778	Medium	L1
100779	High	L1
100780	Medium	L1
100781	High	L1
100782	Medium	L2
100783	Medium	L2
100784	Medium	L1
100785	Low	L2
100786	Medium	L5
100787	Low	L1
100788	Low	L1
100789	Medium	L1
100790	Medium	L2
100791	Medium	L1
100792	Medium	L1
100793	Medium	L1
100794	Low	L1
100795	Low	L2
100796	Low	L5
100797	Medium	L1
100798	High	L1
100799	Medium	L1
100800	High	L1
100801	Low	L1
100802	High	L1
100803	Low	L3
100804	Low	L2
100805	Low	L1
100806	Low	L1
100807	Medium	L1
100808	Medium	L2
100809	Medium	L1
100810	Medium	L1
100811	High	L2
100812	Low	L1
100813	Low	L5
100814	Low	L1
100815	Low	L2
100816	High	L1
100817	High	L2
100818	Low	L5
100819	Medium	L3
100820	Low	L1
100821	Medium	L1
100822	Low	L1
100823	Medium	L1
100824	Low	L1
100825	Medium	L2
100826	Medium	L2
100827	High	L3
100828	High	L2
100829	Low	L1
100830	Medium	L1
100831	Low	L1
100832	Low	L1
100833	High	L1
100834	High	L1
100837	High	L2
100838	Low	L1
100839	Medium	L1
100840	Medium	L1
100841	High	L5
100842	Low	L1
100843	Low	L1
100844	Low	L1
100845	Medium	L2
100846	Low	L1
100849	Medium	L1
100850	Low	L1
100851	Low	L1
100852	High	L1
100853	High	L1
100854	Medium	L1
100855	Medium	L3
100856	Low	L2
100857	High	L5
100858	Low	L2
100859	Low	L1
100860	High	L1
100861	Low	L2
100862	Low	L1
100863	High	L1
100864	Medium	L1
100865	High	L1
100866	High	L2
100867	Low	L2
100868	Medium	L2
100869	Low	L2
100870	Low	L1
100871	Medium	L1
100872	Low	L1
100873	Low	L2
100874	Low	L2
100875	Medium	L2
100876	High	L1
100877	Medium	L1
100878	Medium	L1
100879	Low	L1
100880	High	L1
100881	Medium	L1
100882	High	L1
100883	Low	L1
100884	High	L1
100885	High	L1
100886	Low	L1
100887	Medium	L1
100888	Low	L1
100889	Low	L3
100890	Low	L1
100891	Medium	L1
100892	Low	L1
100893	Medium	L1
100894	Medium	L1
100895	Low	L5
100896	Low	L1
100897	Medium	L5
100898	Medium	L1
100899	Low	L1
100900	Low	L2
100901	Low	L1
100902	Medium	L2
100903	High	L5
100904	Medium	L5
100905	Medium	L2
100906	Low	L5
100909	Low	L1
100910	Medium	L1
100911	Low	L1
100912	Medium	L1
100913	High	L1
100914	Low	L1
100915	Medium	L1
100916	High	L1
100917	Medium	L1
100918	Low	L1
100919	Low	L1
100920	Medium	L1
100921	Medium	L2
100922	High	L2
100923	Low	L1
100924	High	L1
100925	Medium	L1
100926	Medium	L1
100927	Medium	L1
100928	Low	L1
100929	Low	L1
100930	Low	L1
100931	Medium	L1
100932	High	L1
100933	Medium	L1
100934	High	L2
100935	Medium	L1
100936	High	L2
100937	Low	L3
100938	High	L2
100939	High	L2
100940	Low	L5
100941	Medium	L2
100942	Low	L1
100943	Low	L1
100944	Low	L2
100945	Medium	L3
100946	Medium	L1
100947	Low	L2
100948	Low	L1
100949	Low	L1
100950	Low	L3
100951	Medium	L1
100952	Medium	L3
100953	High	L2
100954	Low	L2
100955	High	L2
100956	Medium	L2
100957	High	L2
100958	High	L2
100959	Low	L2
100960	Low	L3
100961	Low	L1
100962	Low	L1
100963	Low	L1
100964	Medium	L1
100965	High	L1
100966	Medium	L1
100967	Low	L5
100968	High	L1
100969	High	L1
100970	Medium	L1
100971	Medium	L5
100972	Low	L1
100973	High	L5
100974	Low	L5
100975	Medium	L1
100976	High	L2
100977	Low	L2
100978	Low	L1
100979	High	L1
100980	Low	L1
100981	Low	L2
100982	Medium	L2
100985	High	L5
100986	Low	L1
100989	Low	L1
100990	Low	L2
100991	Low	L1
100992	Medium	L1
100993	Low	L1
100994	High	L1
100995	Low	L2
100996	High	L1
100997	Low	L1
100998	Low	L1
100999	Medium	L1
101000	Medium	L1
101001	High	L1
101002	Low	L1
101003	Medium	L1
101004	High	L1
101005	Low	L2
101006	Low	L1
101007	Low	L1
101008	Low	L1
101009	Medium	L2
101010	Low	L2
101011	Low	L1
101012	Low	L1
101013	Medium	L1
101014	High	L2
101015	Low	L1
101016	Low	L1
101017	High	L1
101018	Low	L1
101019	Low	L1
101020	High	L2
101021	High	L1
101022	High	L1
101023	Medium	L1
101024	Medium	L1
101025	Medium	L2
101026	Medium	L1
101027	Medium	L5
101028	Low	L1
101029	Medium	L1
101030	High	L3
101031	Low	L3
101032	Medium	L2
101033	Medium	L3
101034	High	L2
101035	Low	L2
101036	Low	L3
101037	High	L1
101038	High	L1
101039	Low	L1
101040	Low	L1
101041	Low	L1
101042	Medium	L1
101043	Medium	L1
101044	Low	L1
101045	High	L1
101046	High	L2
101047	Low	L1
101048	Medium	L1
101049	Medium	L1
101050	High	L1
101051	Low	L1
101052	Medium	L1
101053	Medium	L1
101054	Medium	L1
101055	Low	L2
101056	Low	L1
101057	Low	L1
101058	Medium	L1
101059	Low	L1
101060	Low	L1
101061	Medium	L1
101062	Low	L2
101072	Medium	L2
101073	High	L1
101074	Low	L1
101075	Low	L1
101076	Low	L2
101077	Medium	L1
101078	Low	L2
101079	High	L2
101080	Low	L3
101081	Low	L2
101082	Medium	L1
101083	Low	L1
101084	Low	L5
101085	Low	L2
101086	Medium	L5
101087	High	L1
101088	Medium	L2
101089	High	L5
101090	Medium	L2
101091	Medium	L2
101092	High	L5
101093	Low	L1
101094	Medium	L1
101095	Medium	L1
101096	Low	L1
101097	High	L1
101098	High	L2
101099	Low	L2
101100	Low	L5
101103	Low	L1
101104	Low	L5
101105	Low	L1
101106	Low	L1
101107	High	L2
101108	Low	L2
101109	Low	L2
101112	Low	L2
101113	Low	L3
101114	High	L2
101115	Medium	L2
101116	Low	L2
101117	Medium	L1
101118	Medium	L1
101119	High	L1
101120	High	L2
101121	Low	L2
101122	Low	L2
101123	Low	L5
101124	Low	L1
101125	Low	L1
101126	Medium	L2
101127	Low	L1
101128	High	L2
101129	Low	L5
101130	High	L1
101131	Medium	L5
101132	High	L1
101133	Medium	L2
101134	High	L1
101135	Medium	L1
101136	Low	L3
101137	Medium	L1
101138	Medium	L2
101139	Low	L2
101140	Low	L3
101141	Low	L1
101142	Low	L1
101143	Low	L2
101144	Low	L5
101145	High	L5
101146	Medium	L1
101147	Low	L1
101148	Low	L2
101149	Low	L1
101150	Low	L1
101151	Low	L1
101152	Low	L1
101153	High	L2
101154	Low	L5
101155	Medium	L3
101156	Medium	L1
101157	Low	L2
101158	High	L1
101159	Medium	L1
101160	Medium	L1
101161	Medium	L1
101162	High	L1
101163	High	L1
101164	Medium	L1
101165	Low	L1
101166	Low	L2
101167	High	L5
101168	Medium	L2
101169	Medium	L2
101170	Medium	L5
101171	Low	L5
101172	Low	L1
101173	Low	L1
101174	Low	L1
101175	High	L1
101176	Low	L2
101177	Low	L2
101178	Low	L1
101179	High	L5
101180	Medium	L2
101181	Low	L1
101182	High	L1
101183	Low	L1
101184	High	L3
101185	Low	L2
101186	Low	L5
101187	Low	L2
101188	High	L1
101189	Medium	L5
101190	High	L1
101191	High	L2
101192	Low	L2
101193	Medium	L2
101194	Low	L1
101195	Medium	L1
101196	Medium	L1
101197	Low	L1
101198	Low	L1
101199	Medium	L1
101200	Medium	L1
101201	Medium	L1
101202	Medium	L1
101203	Low	L5
101204	Medium	L5
101205	Low	L1
101206	Low	L2
101207	High	L1
101208	High	L2
101209	Low	L1
101210	High	L2
101211	Low	L1
101212	Medium	L2
101213	Low	L2
101214	Medium	L2
101215	Low	L1
101216	Low	L2
101217	Low	L1
101218	High	L1
101219	High	L1
101220	High	L2
101221	Low	L1
101224	Low	L1
101225	Medium	L1
101226	Low	L1
101227	Low	L1
101228	Low	L1
101229	Medium	L1
101230	High	L1
101231	High	L1
101232	Low	L1
101233	Medium	L5
101234	Low	L5
101235	High	L2
101236	High	L1
101237	Low	L1
101238	Low	L2
101239	Low	L2
101240	Low	L1
101241	High	L1
101242	Medium	L1
101243	Low	L1
101244	High	L1
101245	Low	L5
101246	Low	L1
101247	Medium	L1
101248	Medium	L5
101249	Medium	L1
101250	High	L1
101251	Medium	L1
101252	Medium	L3
101253	High	L1
101254	High	L1
101255	High	L1
101256	Medium	L2
101257	Low	L1
101258	Low	L1
101259	Medium	L1
101260	Medium	L1
101261	Low	L5
101262	Low	L1
101263	High	L1
101264	Medium	L1
101265	Medium	L1
101266	Medium	L5
101267	Medium	L1
101268	Low	L1
101269	Low	L1
101270	Medium	L1
101271	Low	L1
101272	Low	L1
101273	Medium	L1
101274	Medium	L1
101275	High	L1
101276	High	L1
101277	High	L5
101278	Medium	L1
101279	Low	L1
101280	Low	L1
101281	Medium	L2
101282	High	L1
101283	Low	L1
101284	Low	L1
101285	Medium	L5
101286	Low	L2
101287	High	L1
101288	Medium	L1
101289	High	L1
101290	Low	L1
101291	Low	L1
101292	Low	L1
101293	Medium	L1
101294	Low	L1
101295	Low	L1
101296	Low	L1
101297	Low	L2
101298	Medium	L1
101299	Low	L1
101300	High	L2
101301	Medium	L2
101302	Low	L3
101303	Low	L1
101304	High	L1
101305	Medium	L2
101306	High	L2
101307	Low	L2
101308	High	L2
101309	Medium	L2
101310	Low	L1
101311	Low	L1
101312	Low	L1
101313	Low	L1
101314	Low	L1
101315	Low	L1
101316	Low	L1
101317	Medium	L5
101318	Low	L1
101319	Medium	L5
101320	Low	L1
101321	Low	L5
101322	Low	L1
101323	Low	L1
101326	High	L1
101327	High	L1
101328	Low	L1
101329	Medium	L1
101330	High	L1
101331	Medium	L1
101332	Low	L1
101333	Medium	L1
101334	High	L1
101335	Low	L1
101336	Low	L1
101337	Medium	L5
101338	Low	L1
101339	Medium	L1
101340	Medium	L5
101341	Low	L1
101342	Low	L1
101343	Medium	L5
101344	Medium	L1
101345	Low	L1
101346	Low	L5
101347	Medium	L2
101348	Low	L5
101351	Low	L2
101357	Medium	L1
101358	Medium	L2
101359	Low	L2
101360	Low	L2
101361	Medium	L2
101362	Medium	L1
101363	Medium	L2
101364	High	L2
101365	Medium	L2
101366	High	L1
101367	Medium	L1
101368	Low	L1
101369	High	L1
101370	Low	L1
101371	High	L2
101372	Low	L5
101373	Medium	L1
101374	High	L3
101375	Medium	L2
101376	Medium	L2
101377	Low	L2
101378	High	L2
101379	High	L1
101380	Medium	L5
101381	Low	L1
101382	Medium	L2
101383	Low	L2
101384	High	L2
101385	Low	L2
101386	High	L2
101387	Low	L2
101388	High	L2
101389	Low	L2
101390	Low	L2
101391	High	L2
101392	Low	L2
101393	Low	L2
101394	High	L2
101395	Low	L2
101396	Low	L2
101397	Low	L2
101398	High	L1
101399	Medium	L2
101400	Low	L2
101401	Medium	L1
101402	Low	L2
101403	Low	L2
101404	High	L1
101405	Medium	L1
