Ref	Priority	Severity
98543	Medium	L2
98544	Medium	L2
98545	Medium	L1
98546	Low	L2
98547	Medium	L2
98548	Low	L5
98549	Medium	L3
98550	Low	L2
98551	Low	L1
98552	Medium	L1
98553	Low	L2
98554	High	L1
98555	Medium	L2
98556	High	L2
98557	Low	L2
98558	Low	L2
98559	Low	L5
98560	High	L2
98561	High	L1
98562	Medium	L5
98563	High	L1
98564	Low	L1
98565	Medium	L1
98566	Medium	L1
98567	Medium	L1
98568	Low	L2
98569	High	L5
98570	Low	L5
98571	Low	L5
98572	High	L1
98573	High	L1
98574	Low	L1
98575	Low	L1
98576	Low	L1
98577	High	L2
98578	Medium	L4
98579	Low	L1
98580	Low	L2
98581	Medium	L1
98582	Medium	L1
98583	Low	L1
98584	Low	L1
98585	Low	L1
98586	Low	L1
98587	Medium	L1
98588	Low	L1
98589	Low	L1
98590	Low	L1
98591	High	L1
98592	Medium	L1
98593	Low	L1
98594	Medium	L1
98595	Low	L1
98596	Medium	L2
98597	High	L2
98598	High	L1
98599	Medium	L2
98600	Low	L2
98601	Medium	L1
98602	Low	L2
98607	Medium	L2
98608	Medium	L1
98609	High	L2
98610	Medium	L2
98611	Low	L1
98612	Low	L5
98613	Medium	L3
98614	Medium	L1
98615	Medium	L2
98616	Low	L2
98617	High	L2
98618	High	L3
98619	Low	L2
98620	Medium	L1
98621	Medium	L3
98622	Low	L1
98623	Low	L5
98624	Medium	L1
98625	Low	L1
98626	High	L5
98627	Low	L1
98628	Medium	L1
98629	High	L1
98630	Low	L1
98631	Medium	L1
98632	Low	L1
98633	Low	L2
98634	Low	L2
98635	Low	L2
98636	High	L5
98637	Low	L1
98638	Medium	L2
98639	High	L2
98640	Low	L5
98641	Low	L1
98642	Low	L5
98643	Medium	L1
98644	Low	L2
98645	Low	L1
98646	Medium	L2
98647	Medium	L2
98648	High	L1
98649	Low	L1
98650	High	L3
98651	High	L1
98652	Medium	L2
98653	Low	L2
98654	Medium	L1
98655	High	L1
98656	Medium	L1
98657	Medium	L5
98658	Low	L2
98659	Medium	L2
98660	Low	L1
98661	Medium	L2
98662	Medium	L2
98663	Medium	L1
98664	Low	L1
98665	Medium	L1
98666	Low	L1
98667	Low	L1
98668	Medium	L1
98669	Low	L1
98670	Medium	L5
98671	Low	L1
98672	Medium	L5
98673	Low	L1
98674	High	L1
98675	Low	L2
98676	High	L2
98677	Low	L1
98678	Medium	L1
98679	Low	L1
98680	Low	L1
98681	Medium	L2
98682	High	L2
98685	Medium	L2
98686	Low	L2
98687	Low	L2
98688	Low	L5
98689	Medium	L1
98690	Medium	L1
98691	Low	L3
98692	Low	L3
98693	Low	L1
98694	Medium	L1
98695	High	L1
98696	Medium	L2
98697	Medium	L2
98698	Low	L1
98699	Low	L1
98700	Low	L2
98701	Low	L2
98702	Low	L2
98703	High	L1
98704	Low	L1
98705	Medium	L2
98706	Low	L2
98707	Low	L1
98708	Low	L5
98709	Medium	L1
98710	Low	L5
98711	Medium	L5
98712	High	L2
98713	Low	L1
98714	Low	L2
98715	Low	L5
98716	Low	L2
98717	Medium	L1
98718	Low	L1
98719	Low	L1
98720	Low	L1
98721	Medium	L2
98722	High	L1
98723	Medium	L2
98724	High	L5
98725	Low	L4
98726	Low	L5
98727	Medium	L2
98728	Low	L2
98729	Low	L5
98730	Low	L1
98731	High	L3
98732	Medium	L5
98733	Medium	L5
98734	Medium	L2
98735	Low	L2
98736	Low	L2
98737	Low	L2
98738	Medium	L1
98739	Medium	L1
98740	High	L2
98741	High	L2
98742	High	L1
98743	Low	L1
98744	Low	L1
98745	High	L1
98746	Low	L5
98747	Medium	L2
98748	Medium	L5
98749	Medium	L1
98750	Low	L1
98751	Low	L1
98752	High	L1
98753	Low	L5
98754	Low	L1
98755	Medium	L1
98756	Low	L1
98757	Low	L5
98758	High	L1
98759	High	L1
98762	Low	L2
98763	Low	L1
98766	Medium	L2
98767	Low	L2
98768	Medium	L1
98769	High	L2
98770	High	L2
98771	Medium	L1
98772	Medium	L1
98773	Medium	L1
98774	High	L3
98775	Low	L2
98776	Low	L5
98777	Low	L2
98778	Low	L1
98779	Low	L1
98780	Low	L2
98781	Medium	L2
98782	High	L2
98783	High	L1
98784	Low	L1
98785	Low	L2
98786	Low	L2
98787	Low	L2
98788	High	L5
98789	Medium	L1
98790	Low	L1
98791	Medium	L1
98792	Medium	L1
98793	Low	L1
98794	Low	L5
